date,deal_type,target,acquirer,title,url
2022-06-14,acquisition,IIFL Wealth Management Limited,BC Asia Investments X Limited,CCI approves acquisition of up to 24.98% shareholding of IIFL Wealth Management Limited by BC Asia Investments X Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1833960
2022-06-14,acquisition,entire shareholding in Air Asia India,Air India,CCI approves acquisition of entire shareholding in Air Asia India by Air India,https://pib.gov.in/PressReleasePage.aspx?PRID=1833962
2022-05-31,acquisition,"shareholding in Hitachi Construction Machinery Co., Ltd.",HCJI Holdings G,"CCI approves acquisition of shareholding in Hitachi Construction Machinery Co., Ltd. by HCJI Holdings G.K., Citrus Investments, HCJ Holdings 2 G.K., Japan Industrial V – GP K.K., and other investors",https://pib.gov.in/PressReleasePage.aspx?PRID=1829819
2022-05-19,acquisition,approximately 15% equity shareholding of Biocon Biologics,Serum Institute Life Sciences,CCI approves merger by absorption of Covidshield Technologies into Biocon Biologics in consideration for acquisition of approximately 15% equity shareholding of Biocon Biologics by Serum Institute Life Sciences,https://pib.gov.in/PressReleasePage.aspx?PRID=1826596
2022-05-19,acquisition,majority stake in SMW Ispat Private Limited,OFB Tech Private Limited,CCI approves acquisition of majority stake in SMW Ispat Private Limited by OFB Tech Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1826597
2022-04-18,acquisition,minority stake of BDR Pharmaceuticals International Private Limited,Multiples Private Equity Fund III,"CCI approves acquisition of minority stake of BDR Pharmaceuticals International Private Limited by Multiples Private Equity Fund III, SRF Transnational Holdings Limited, Balkrishna Industries Limited, Dharmayug Investmen...",https://pib.gov.in/PressReleasePage.aspx?PRID=1817785
2022-04-04,acquisition,certain compulsorily convertible preference shares of Hero FinCorp Limited,AHVF II Holdings Singapore II Pte,CCI approves acquisition of certain compulsorily convertible preference shares of Hero FinCorp Limited by AHVF II Holdings Singapore II Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1813387
2022-03-23,acquisition,stake in Busybees Logistics,TPG,CCI approves acquisition of stake in Busybees Logistics by TPG,https://pib.gov.in/PressReleasePage.aspx?PRID=1808802
2022-03-23,acquisition,shareholding in Busybees Logistics Solutions Private Limited,BXG Xenon HoldCo Limited,CCI approves acquisition of shareholding in Busybees Logistics Solutions Private Limited by BXG Xenon HoldCo Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=1808805
2022-03-16,acquisition,equity stake in Future Generali India Insurance Company Limited,Generali Participations Netherlands N,CCI approves acquisition of equity stake in Future Generali India Insurance Company Limited by Generali Participations Netherlands N.V,https://pib.gov.in/PressReleasePage.aspx?PRID=1806393
2022-03-16,acquisition,Micro Life Sciences Private Limited,South Elm Investments B,CCI approves acquisition of Micro Life Sciences Private Limited by South Elm Investments B.V.,https://pib.gov.in/PressReleasePage.aspx?PRID=1806394
2022-03-10,acquisition,Prione Business Services Private Limited,Amazon Asia-Pacific Resources Private Limited,CCI approves acquisition of Prione Business Services Private Limited by Amazon Asia-Pacific Resources Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1804667
2022-02-24,acquisition,stake in ISMT Limited,Kirloskar Ferrous Industries Limited,Commission approves proposed combination involving acquisition of stake in ISMT Limited by Kirloskar Ferrous Industries Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1800829
2022-02-14,acquisition,equity share capital of Sajjan India Limited,Sona Company Pte,CCI approves acquisition of equity share capital of Sajjan India Limited by Sona Company Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1798273
2022-02-08,acquisition,"athenahealth Group, Inc. by funds managed and advised",H&F,"CCI approves acquisition of athenahealth Group, Inc. by funds managed and advised by H&F, Bain, and GICSI",https://pib.gov.in/PressReleasePage.aspx?PRID=1796398
2022-02-02,acquisition,certain additional equity,Kubota Corporation of Escorts Limited,CCI approves acquisition of certain additional equity by Kubota Corporation of Escorts Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1794714
2022-01-24,acquisition,shares of Future Generali India Life Insurance Company Limited,Generali Participations Netherlands N,CCI approves acquisition of shares of Future Generali India Life Insurance Company Limited by Generali Participations Netherlands N.V,https://pib.gov.in/PressReleasePage.aspx?PRID=1792074
2022-01-11,acquisition,shares in Sutherland Global Holdings Inc.,Coral Blue Investment Pte,CCI approves acquisition of shares in Sutherland Global Holdings Inc. by Coral Blue Investment Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=1789125
2021-12-30,acquisition,Jindal Power Limited,Worldone Private Limited,CCI approves acquisition of 96.42% equity shareholding in Jindal Power Limited by Worldone Private Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1786352
2021-12-21,acquisition,controlling stake in Forbes Enviro Solutions Limited,Lunolux Limited,CCI approves acquisition of controlling stake in Forbes Enviro Solutions Limited by Lunolux Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1783743
2021-12-20,acquisition,"shareholding in Air India Limited, Air India Express Limited and Air India SATS Airport Services Private Limited",Talace Private Limited,"CCI approves acquisition of shareholding in Air India Limited, Air India Express Limited and Air India SATS Airport Services Private Limited by Talace Private Limited",https://pib.gov.in/PressReleasePage.aspx?PRID=1783550
2021-12-15,acquisition,shareholding in Sterling and Wilson Renewable Energy Limited,Reliance New Energy Solar Limited,CCI approves acquisition of shareholding in Sterling and Wilson Renewable Energy Limited by Reliance New Energy Solar Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=1781800
2021-11-23,acquisition,minority stake in Delhivery byFedEx India and acquisition of certain operating assets of FedEx India and TNT India Private Limited,Delhivery,CCI approves acquisition of minority stake in Delhivery byFedEx India and acquisition of certain operating assets of FedEx India and TNT India Private Limited by Delhivery,https://pib.gov.in/PressReleasePage.aspx?PRID=1774326
2021-11-23,acquisition,stake,Veolia Environnement S,"CCI approves proposed combination involving (a) acquisition of stake by Veolia Environnement S.A (Veolia) in SUEZ (S.A), and (b) acquisition of stake in New Suez by Meridiam, Global Infrastructure Management, LLC, La Cai...",https://pib.gov.in/PressReleasePage.aspx?PRID=1774331
