state,sector,status_bucket,count
MEGHALAYA,Coal Mining,in_process,4
MEGHALAYA,Coal Mining,tor_granted,8
MEGHALAYA,INFRA-2,dead,1
MEGHALAYA,INFRA-2,granted,1
MEGHALAYA,INFRA-2,in_process,1
MEGHALAYA,INFRA-2,tor_granted,3
MEGHALAYA,Industrial Projects - 1,dead,4
MEGHALAYA,Industrial Projects - 1,granted,4
MEGHALAYA,Industrial Projects - 1,tor_granted,2
MEGHALAYA,Industrial Projects - 2,granted,1
MEGHALAYA,Non-Coal Mining,dead,27
MEGHALAYA,Non-Coal Mining,granted,137
MEGHALAYA,Non-Coal Mining,in_process,45
MEGHALAYA,Non-Coal Mining,tor_granted,40
MEGHALAYA,None,in_process,3
MEGHALAYA,River Valley and Hydroelectric Projects,dead,1
MEGHALAYA,River Valley and Hydroelectric Projects,tor_granted,1
MEGHALAYA,Thermal Projects,dead,2
MEGHALAYA,Thermal Projects,granted,2
MIZORAM,INFRA-2,dead,2
MIZORAM,INFRA-2,in_process,6
MIZORAM,Industrial Projects - 2,in_process,1
MIZORAM,Non-Coal Mining,dead,1
NAGALAND,Non-Coal Mining,dead,1
ODISHA,Coal Mining,dead,18
ODISHA,Coal Mining,granted,34
ODISHA,Coal Mining,in_process,9
ODISHA,Coal Mining,tor_granted,12
ODISHA,INFRA-1,dead,8
ODISHA,INFRA-1,granted,7
ODISHA,INFRA-1,in_process,3
ODISHA,INFRA-1,tor_granted,13
ODISHA,INFRA-2,dead,61
ODISHA,INFRA-2,granted,150
ODISHA,INFRA-2,in_process,59
ODISHA,INFRA-2,tor_granted,32
ODISHA,Industrial Projects - 1,dead,90
ODISHA,Industrial Projects - 1,granted,66
ODISHA,Industrial Projects - 1,in_process,30
ODISHA,Industrial Projects - 1,tor_granted,70
ODISHA,Industrial Projects - 2,dead,53
ODISHA,Industrial Projects - 2,granted,210
ODISHA,Industrial Projects - 2,in_process,30
ODISHA,Industrial Projects - 2,tor_granted,9
ODISHA,Industrial Projects - 3,dead,2
ODISHA,Industrial Projects - 3,granted,4
ODISHA,Industrial Projects - 3,in_process,3
ODISHA,Industrial Projects - 3,tor_granted,4
ODISHA,Non-Coal Mining,dead,860
ODISHA,Non-Coal Mining,granted,1413
ODISHA,Non-Coal Mining,in_process,250
ODISHA,Non-Coal Mining,tor_granted,105
ODISHA,None,in_process,56
ODISHA,River Valley and Hydroelectric Projects,dead,5
ODISHA,River Valley and Hydroelectric Projects,granted,2
ODISHA,River Valley and Hydroelectric Projects,in_process,3
ODISHA,River Valley and Hydroelectric Projects,tor_granted,10
ODISHA,Thermal Projects,dead,12
ODISHA,Thermal Projects,granted,14
ODISHA,Thermal Projects,in_process,1
ODISHA,Thermal Projects,tor_granted,14
PUDUCHERRY,INFRA-1,tor_granted,1
PUDUCHERRY,INFRA-2,dead,1
PUDUCHERRY,INFRA-2,granted,5
PUDUCHERRY,INFRA-2,in_process,1
PUDUCHERRY,INFRA-2,tor_granted,1
PUDUCHERRY,Industrial Projects - 1,dead,6
PUDUCHERRY,Industrial Projects - 1,tor_granted,3
PUDUCHERRY,Industrial Projects - 2,dead,2
PUDUCHERRY,Industrial Projects - 2,granted,1
PUDUCHERRY,Industrial Projects - 2,in_process,1
PUDUCHERRY,Industrial Projects - 2,tor_granted,4
PUDUCHERRY,Industrial Projects - 3,dead,1
PUDUCHERRY,Industrial Projects - 3,granted,3
PUDUCHERRY,Industrial Projects - 3,tor_granted,6
PUNJAB,INFRA-1,dead,1
PUNJAB,INFRA-1,granted,2
PUNJAB,INFRA-2,dead,90
PUNJAB,INFRA-2,granted,320
PUNJAB,INFRA-2,in_process,71
PUNJAB,INFRA-2,tor_granted,131
PUNJAB,Industrial Projects - 1,dead,41
PUNJAB,Industrial Projects - 1,granted,61
PUNJAB,Industrial Projects - 1,in_process,12
PUNJAB,Industrial Projects - 1,tor_granted,62
PUNJAB,Industrial Projects - 2,dead,10
PUNJAB,Industrial Projects - 2,granted,13
PUNJAB,Industrial Projects - 2,in_process,2
PUNJAB,Industrial Projects - 2,tor_granted,5
PUNJAB,Industrial Projects - 3,dead,11
PUNJAB,Industrial Projects - 3,granted,29
PUNJAB,Industrial Projects - 3,in_process,4
PUNJAB,Industrial Projects - 3,tor_granted,27
PUNJAB,Non-Coal Mining,dead,38
PUNJAB,Non-Coal Mining,granted,157
PUNJAB,Non-Coal Mining,in_process,38
PUNJAB,Non-Coal Mining,tor_granted,102
PUNJAB,None,in_process,17
PUNJAB,River Valley and Hydroelectric Projects,tor_granted,1
PUNJAB,Thermal Projects,dead,4
PUNJAB,Thermal Projects,granted,2
PUNJAB,Thermal Projects,tor_granted,1
RAJASTHAN,Coal Mining,dead,15
RAJASTHAN,Coal Mining,granted,2
RAJASTHAN,Coal Mining,tor_granted,2
RAJASTHAN,INFRA-1,dead,23
RAJASTHAN,INFRA-1,granted,7
RAJASTHAN,INFRA-1,in_process,4
RAJASTHAN,INFRA-1,tor_granted,13
RAJASTHAN,INFRA-2,dead,100
RAJASTHAN,INFRA-2,granted,248
RAJASTHAN,INFRA-2,in_process,93
RAJASTHAN,INFRA-2,tor_granted,65
