date,deal_type,role,company_name,title,url
2025-11-07,acquisition,acquirer,BCP Asia II Holdco VII Pte,CCI approves the proposed acquisition of up to 80.15% shareholding of Aadhar Housing Finance Ltd. by BCP Asia II Holdco VII Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187554
2025-11-07,acquisition,target,Continuum Green Energy Holdings Ltd.,CCI approves acquisition of certain shareholding of Continuum Green Energy Holdings Ltd. by Continuum Energy Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187555
2025-11-07,acquisition,acquirer,Continuum Energy Pte,CCI approves acquisition of certain shareholding of Continuum Green Energy Holdings Ltd. by Continuum Energy Pte. Ltd.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187555
2025-11-07,acquisition,target,a certain shareholding in La Renon Healthcare Private Limited,CCI approves acquisition of a certain shareholding in La Renon Healthcare Private Limited by Rajadhiraja Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187557
2025-11-07,acquisition,acquirer,Rajadhiraja Limited,CCI approves acquisition of a certain shareholding in La Renon Healthcare Private Limited by Rajadhiraja Limited.,https://pib.gov.in/PressReleasePage.aspx?PRID=2187557
2025-10-21,acquisition,target,J. B. Chemicals & Pharmaceuticals Limited,CCI approves acquisition of J. B. Chemicals & Pharmaceuticals Limited by Torrent Pharmaceuticals Limited with voluntary modifications,https://pib.gov.in/PressReleasePage.aspx?PRID=2181329
2025-10-21,acquisition,acquirer,Torrent Pharmaceuticals Limited with voluntary modifications,CCI approves acquisition of J. B. Chemicals & Pharmaceuticals Limited by Torrent Pharmaceuticals Limited with voluntary modifications,https://pib.gov.in/PressReleasePage.aspx?PRID=2181329
2025-10-21,acquisition,target,Edelweiss Asset Management Limited and Edelweiss Trusteeship Company Limited,"CCI approves acquisition of certain shareholding of Edelweiss Asset Management Limited and Edelweiss Trusteeship Company Limited by Setu AIF Trust, Konark Trust and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2181330
2025-10-21,acquisition,acquirer,Setu AIF Trust,"CCI approves acquisition of certain shareholding of Edelweiss Asset Management Limited and Edelweiss Trusteeship Company Limited by Setu AIF Trust, Konark Trust and MMPL Trust",https://pib.gov.in/PressReleasePage.aspx?PRID=2181330
2025-10-14,acquisition,target,Jaiprakash Associates Limited,CCI approves acquisition of Jaiprakash Associates Limited by Vedanta Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2179069
2025-10-14,acquisition,acquirer,Vedanta Limited,CCI approves acquisition of Jaiprakash Associates Limited by Vedanta Limited,https://pib.gov.in/PressReleasePage.aspx?PRID=2179069
2025-10-14,acquisition,target,Cloud4C Services Pte. Ltd and Cloud4C Services Private Limited,CCI approves proposed acquisition of Cloud4C Services Pte. Ltd and Cloud4C Services Private Limited by Capgemini SE,https://pib.gov.in/PressReleasePage.aspx?PRID=2179070
